time,实时发电_火电
2025-06-11 00:00:00,2336.985
2025-06-11 00:15:00,2316.631
2025-06-11 00:30:00,2150.748
2025-06-11 00:45:00,2088.189
2025-06-11 01:00:00,2095.343
2025-06-11 01:15:00,2004.05
2025-06-11 01:30:00,2000.75
2025-06-11 01:45:00,1984.195
2025-06-11 02:00:00,2049.036
2025-06-11 02:15:00,2027.903
2025-06-11 02:30:00,1987.249
2025-06-11 02:45:00,1926.063
2025-06-11 03:00:00,1979.967
2025-06-11 03:15:00,1947.634
2025-06-11 03:30:00,1887.469
2025-06-11 03:45:00,1896.573
2025-06-11 04:00:00,1871.162
2025-06-11 04:15:00,1812.252
2025-06-11 04:30:00,1811.151
2025-06-11 04:45:00,1781.981
2025-06-11 05:00:00,1866.271
2025-06-11 05:15:00,1941.784
2025-06-11 05:30:00,2063.39
2025-06-11 05:45:00,2168.435
2025-06-11 06:00:00,2226.126
2025-06-11 06:15:00,2131.054
2025-06-11 06:30:00,2159.896
2025-06-11 06:45:00,2001.754
2025-06-11 07:00:00,1858.046
2025-06-11 07:15:00,1654.184
2025-06-11 07:30:00,1551.631
2025-06-11 07:45:00,1528.113
2025-06-11 08:00:00,1559.406
2025-06-11 08:15:00,1684.955
2025-06-11 08:30:00,1865.839
2025-06-11 08:45:00,2016.782
2025-06-11 09:00:00,1720.122
2025-06-11 09:15:00,1862.052
2025-06-11 09:30:00,1929.425
2025-06-11 09:45:00,1835.167
2025-06-11 10:00:00,1847.37
2025-06-11 10:15:00,1901.001
2025-06-11 10:30:00,1929.838
2025-06-11 10:45:00,1965.87
2025-06-11 11:00:00,1961.585
2025-06-11 11:15:00,1919.908
2025-06-11 11:30:00,1896.017
2025-06-11 11:45:00,1757.069
2025-06-11 12:00:00,1855.452
2025-06-11 12:15:00,1909.74
2025-06-11 12:30:00,1959.954
2025-06-11 12:45:00,1984.893
2025-06-11 13:00:00,1980.858
2025-06-11 13:15:00,2109.856
2025-06-11 13:30:00,1988.027
2025-06-11 13:45:00,2079.009
2025-06-11 14:00:00,2210.646
2025-06-11 14:15:00,2345.526
2025-06-11 14:30:00,2252.298
2025-06-11 14:45:00,2223.052
2025-06-11 15:00:00,2149.558
2025-06-11 15:15:00,2118.602
2025-06-11 15:30:00,2033.64
2025-06-11 15:45:00,1993.238
2025-06-11 16:00:00,2128.716
2025-06-11 16:15:00,2196.507
2025-06-11 16:30:00,2400.812
2025-06-11 16:45:00,2035.403
2025-06-11 17:00:00,2270.194
2025-06-11 17:15:00,2150.498
2025-06-11 17:30:00,2223.759
2025-06-11 17:45:00,2097.464
2025-06-11 18:00:00,2021.16
2025-06-11 18:15:00,2127.898
2025-06-11 18:30:00,1941.032
2025-06-11 18:45:00,1935.414
2025-06-11 19:00:00,1957.44
2025-06-11 19:15:00,1916.214
2025-06-11 19:30:00,1873.712
2025-06-11 19:45:00,1941.577
2025-06-11 20:00:00,1860.55
2025-06-11 20:15:00,1744.888
2025-06-11 20:30:00,1698.764
2025-06-11 20:45:00,1863.064
2025-06-11 21:00:00,1874.703
2025-06-11 21:15:00,1912.036
2025-06-11 21:30:00,1950.857
2025-06-11 21:45:00,1889.275
2025-06-11 22:00:00,1933.48
2025-06-11 22:15:00,1546.065
2025-06-11 22:30:00,1688.368
2025-06-11 22:45:00,1944.016
2025-06-11 23:00:00,2443.998
2025-06-11 23:15:00,2029.09
2025-06-11 23:30:00,2147.733
2025-06-11 23:45:00,2143.15
2025-06-12 00:00:00,2316.619
2025-06-12 00:15:00,2474.09
2025-06-12 00:30:00,2410.949
2025-06-12 00:45:00,2336.187
2025-06-12 01:00:00,2248.885
2025-06-12 01:15:00,2169.426
2025-06-12 01:30:00,2270.687
2025-06-12 01:45:00,2218.483
2025-06-12 02:00:00,2002.937
2025-06-12 02:15:00,2066.745
2025-06-12 02:30:00,1919.596
2025-06-12 02:45:00,1917.301
2025-06-12 03:00:00,1940.562
2025-06-12 03:15:00,1955.549
2025-06-12 03:30:00,1929.393
2025-06-12 03:45:00,1834.314
2025-06-12 04:00:00,1818.434
2025-06-12 04:15:00,1817.79
2025-06-12 04:30:00,1798.702
2025-06-12 04:45:00,1779.303
2025-06-12 05:00:00,1856.297
2025-06-12 05:15:00,1963.046
2025-06-12 05:30:00,1921.933
2025-06-12 05:45:00,2057.358
2025-06-12 06:00:00,2193.248
2025-06-12 06:15:00,2163.465
2025-06-12 06:30:00,2061.857
2025-06-12 06:45:00,1972.267
2025-06-12 07:00:00,1959.455
2025-06-12 07:15:00,1733.406
2025-06-12 07:30:00,1749.857
2025-06-12 07:45:00,1713.933
2025-06-12 08:00:00,1711.669
2025-06-12 08:15:00,1710.878
2025-06-12 08:30:00,1667.467
2025-06-12 08:45:00,1948.301
2025-06-12 09:00:00,1911.172
2025-06-12 09:15:00,1803.285
2025-06-12 09:30:00,1825.117
2025-06-12 09:45:00,1749.09
2025-06-12 10:00:00,1668.607
2025-06-12 10:15:00,1751.205
2025-06-12 10:30:00,1703.515
2025-06-12 10:45:00,1735.162
2025-06-12 11:00:00,1461.694
2025-06-12 11:15:00,1808.865
2025-06-12 11:30:00,1859.361
2025-06-12 11:45:00,1788.915
2025-06-12 12:00:00,1903.307
2025-06-12 12:15:00,1918.361
2025-06-12 12:30:00,1937.729
2025-06-12 12:45:00,1924.678
2025-06-12 13:00:00,1954.339
2025-06-12 13:15:00,1976.361
2025-06-12 13:30:00,1855.167
2025-06-12 13:45:00,1954.999
2025-06-12 14:00:00,1911.557
2025-06-12 14:15:00,1868.359
2025-06-12 14:30:00,1897.576
2025-06-12 14:45:00,1893.905
2025-06-12 15:00:00,1794.615
2025-06-12 15:15:00,1752.665
2025-06-12 15:30:00,1755.192
2025-06-12 15:45:00,1737.804
2025-06-12 16:00:00,1774.177
2025-06-12 16:15:00,2008.421
2025-06-12 16:30:00,2011.939
2025-06-12 16:45:00,2091.397
2025-06-12 17:00:00,2203.772
2025-06-12 17:15:00,2334.719
2025-06-12 17:30:00,2201.079
2025-06-12 17:45:00,2096.131
2025-06-12 18:00:00,1996.765
2025-06-12 18:15:00,2070.451
2025-06-12 18:30:00,2129.438
2025-06-12 18:45:00,2176.964
2025-06-12 19:00:00,2177.278
2025-06-12 19:15:00,2213.333
2025-06-12 19:30:00,2058.516
2025-06-12 19:45:00,1918.669
2025-06-12 20:00:00,1768.836
2025-06-12 20:15:00,1815.858
2025-06-12 20:30:00,1796.988
2025-06-12 20:45:00,1985.755
2025-06-12 21:00:00,2019.376
2025-06-12 21:15:00,2043.486
2025-06-12 21:30:00,2031.181
2025-06-12 21:45:00,2142.718
2025-06-12 22:00:00,2254.698
2025-06-12 22:15:00,2377.139
2025-06-12 22:30:00,2233.149
2025-06-12 22:45:00,2559.77
2025-06-12 23:00:00,2550.73
2025-06-12 23:15:00,2159.713
2025-06-12 23:30:00,2131.4
2025-06-12 23:45:00,2239.844
2025-06-13 00:00:00,2448.513
2025-06-13 00:15:00,2445.779
2025-06-13 00:30:00,2336.623
2025-06-13 00:45:00,2220.612
2025-06-13 01:00:00,2096.299
2025-06-13 01:15:00,2055.61
2025-06-13 01:30:00,2096.168
2025-06-13 01:45:00,2099.683
2025-06-13 02:00:00,2084.232
2025-06-13 02:15:00,2143.93
2025-06-13 02:30:00,2223.173
2025-06-13 02:45:00,2237.116
2025-06-13 03:00:00,2185.631
2025-06-13 03:15:00,2180.802
2025-06-13 03:30:00,2204.378
2025-06-13 03:45:00,2216.395
2025-06-13 04:00:00,2189.974
2025-06-13 04:15:00,2125.172
2025-06-13 04:30:00,2126.185
2025-06-13 04:45:00,2173.076
2025-06-13 05:00:00,2260.074
2025-06-13 05:15:00,2346.567
2025-06-13 05:30:00,2342.32
2025-06-13 05:45:00,2364.57
2025-06-13 06:00:00,2467.099
2025-06-13 06:15:00,2423.038
2025-06-13 06:30:00,2351.118
2025-06-13 06:45:00,2136.363
2025-06-13 07:00:00,1987.513
2025-06-13 07:15:00,1736.422
2025-06-13 07:30:00,1624.162
2025-06-13 07:45:00,1469.257
2025-06-13 08:00:00,1490.53
2025-06-13 08:15:00,1501.097
2025-06-13 08:30:00,1705.859
2025-06-13 08:45:00,1640.239
2025-06-13 09:00:00,1519.374
2025-06-13 09:15:00,1432.649
2025-06-13 09:30:00,1389.711
2025-06-13 09:45:00,1364.228
2025-06-13 10:00:00,1347.25
2025-06-13 10:15:00,1347.25
2025-06-13 10:30:00,1347.25
2025-06-13 10:45:00,1347.5
2025-06-13 11:00:00,1407.485
2025-06-13 11:15:00,1511.499
2025-06-13 11:30:00,1647.851
2025-06-13 11:45:00,1683.036
2025-06-13 12:00:00,1799.5
2025-06-13 12:15:00,1673.727
2025-06-13 12:30:00,1631.365
2025-06-13 12:45:00,1563.236
2025-06-13 13:00:00,1620.458
2025-06-13 13:15:00,1631.374
2025-06-13 13:30:00,1421.5
2025-06-13 13:45:00,1389.575
2025-06-13 14:00:00,1362.759
2025-06-13 14:15:00,1395.675
2025-06-13 14:30:00,1516.589
2025-06-13 14:45:00,1647.564
2025-06-13 15:00:00,1726.399
2025-06-13 15:15:00,1715.636
2025-06-13 15:30:00,1752.507
2025-06-13 15:45:00,1839.725
2025-06-13 16:00:00,1961.447
2025-06-13 16:15:00,2276.57
2025-06-13 16:30:00,2483.278
2025-06-13 16:45:00,2530.136
2025-06-13 17:00:00,2824.827
2025-06-13 17:15:00,2818.935
2025-06-13 17:30:00,2787.503
2025-06-13 17:45:00,2848.988
2025-06-13 18:00:00,2673.234
2025-06-13 18:15:00,2678.404
2025-06-13 18:30:00,2689.496
2025-06-13 18:45:00,2739.217
2025-06-13 19:00:00,2806.589
2025-06-13 19:15:00,2858.789
2025-06-13 19:30:00,2757.42
2025-06-13 19:45:00,2617.156
2025-06-13 20:00:00,2584.246
2025-06-13 20:15:00,2598.633
2025-06-13 20:30:00,2571.352
2025-06-13 20:45:00,2495.234
2025-06-13 21:00:00,2353.528
2025-06-13 21:15:00,2405.023
2025-06-13 21:30:00,2398.372
2025-06-13 21:45:00,2399.165
2025-06-13 22:00:00,2695.757
2025-06-13 22:15:00,2701.628
2025-06-13 22:30:00,2726.517
2025-06-13 22:45:00,2608.592
2025-06-13 23:00:00,2954.729
2025-06-13 23:15:00,2693.465
2025-06-13 23:30:00,2721.081
2025-06-13 23:45:00,2685.644
2025-06-14 00:00:00,2790.619
2025-06-14 00:15:00,2740.874
2025-06-14 00:30:00,2650.248
2025-06-14 00:45:00,2489.923
2025-06-14 01:00:00,2390.801
2025-06-14 01:15:00,2303.483
2025-06-14 01:30:00,2269.193
2025-06-14 01:45:00,2255.688
2025-06-14 02:00:00,2309.428
2025-06-14 02:15:00,2343.349
2025-06-14 02:30:00,2340.382
2025-06-14 02:45:00,2276.942
2025-06-14 03:00:00,2205.252
2025-06-14 03:15:00,2101.722
2025-06-14 03:30:00,2051.273
2025-06-14 03:45:00,1962.869
2025-06-14 04:00:00,1940.532
2025-06-14 04:15:00,1931.69
2025-06-14 04:30:00,1956.031
2025-06-14 04:45:00,1968.981
2025-06-14 05:00:00,1970.923
2025-06-14 05:15:00,1967.616
2025-06-14 05:30:00,1960.689
2025-06-14 05:45:00,2027.528
2025-06-14 06:00:00,2031.202
2025-06-14 06:15:00,1924.098
2025-06-14 06:30:00,1791.984
2025-06-14 06:45:00,1589.792
2025-06-14 07:00:00,1519.801
2025-06-14 07:15:00,1461.5
2025-06-14 07:30:00,1461.5
2025-06-14 07:45:00,1461.5
2025-06-14 08:00:00,1461.5
2025-06-14 08:15:00,1461.5
2025-06-14 08:30:00,1461.5
2025-06-14 08:45:00,1461.5
2025-06-14 09:00:00,1461.5
2025-06-14 09:15:00,1461.5
2025-06-14 09:30:00,1461.5
2025-06-14 09:45:00,1576.748
2025-06-14 10:00:00,1657.985
2025-06-14 10:15:00,1660.686
2025-06-14 10:30:00,1755.711
2025-06-14 10:45:00,1826.812
2025-06-14 11:00:00,1511.868
2025-06-14 11:15:00,1523.974
2025-06-14 11:30:00,1500.734
2025-06-14 11:45:00,1453.102
2025-06-14 12:00:00,1462.488
2025-06-14 12:15:00,1501.079
2025-06-14 12:30:00,1494.952
2025-06-14 12:45:00,1572.596
2025-06-14 13:00:00,1628.719
2025-06-14 13:15:00,1726.841
2025-06-14 13:30:00,1664.728
2025-06-14 13:45:00,1621.628
2025-06-14 14:00:00,1669.543
2025-06-14 14:15:00,1619.182
2025-06-14 14:30:00,1684.631
2025-06-14 14:45:00,1912.056
2025-06-14 15:00:00,1772.487
2025-06-14 15:15:00,1795.003
2025-06-14 15:30:00,1772.406
2025-06-14 15:45:00,1757.747
2025-06-14 16:00:00,1829.21
2025-06-14 16:15:00,2080.252
2025-06-14 16:30:00,2413.986
2025-06-14 16:45:00,2317.845
2025-06-14 17:00:00,2617.784
2025-06-14 17:15:00,2611.417
2025-06-14 17:30:00,2597.99
2025-06-14 17:45:00,2673.484
2025-06-14 18:00:00,2693.737
2025-06-14 18:15:00,2687.707
2025-06-14 18:30:00,2682.856
2025-06-14 18:45:00,2648.745
2025-06-14 19:00:00,2560.839
2025-06-14 19:15:00,2493.158
2025-06-14 19:30:00,2443.72
2025-06-14 19:45:00,2398.187
2025-06-14 20:00:00,2384.679
2025-06-14 20:15:00,2466.825
2025-06-14 20:30:00,2789.276
2025-06-14 20:45:00,2765.957
2025-06-14 21:00:00,2871.509
2025-06-14 21:15:00,2912.823
2025-06-14 21:30:00,2891.676
2025-06-14 21:45:00,3149.762
2025-06-14 22:00:00,3142.262
2025-06-14 22:15:00,2983.506
2025-06-14 22:30:00,3030.318
2025-06-14 22:45:00,2971.506
2025-06-14 23:00:00,3251.656
2025-06-14 23:15:00,3104.762
2025-06-14 23:30:00,3082.262
2025-06-14 23:45:00,2924.856
2025-06-15 00:00:00,2943.949
2025-06-15 00:15:00,2919.278
2025-06-15 00:30:00,2725.141
2025-06-15 00:45:00,2619.039
2025-06-15 01:00:00,2518.371
2025-06-15 01:15:00,2574.115
2025-06-15 01:30:00,2564.385
2025-06-15 01:45:00,2549.045
2025-06-15 02:00:00,2583.584
2025-06-15 02:15:00,2618.892
2025-06-15 02:30:00,2570.488
2025-06-15 02:45:00,2407.342
2025-06-15 03:00:00,2403.848
2025-06-15 03:15:00,2350.331
2025-06-15 03:30:00,2250.867
2025-06-15 03:45:00,2231.077
2025-06-15 04:00:00,2143.748
2025-06-15 04:15:00,2122.986
2025-06-15 04:30:00,2083.346
2025-06-15 04:45:00,1990.064
2025-06-15 05:00:00,1897.287
2025-06-15 05:15:00,1868.801
2025-06-15 05:30:00,1838.822
2025-06-15 05:45:00,1847.814
2025-06-15 06:00:00,1775.281
2025-06-15 06:15:00,1600.367
2025-06-15 06:30:00,1582.851
2025-06-15 06:45:00,1559.531
2025-06-15 07:00:00,1527.64
2025-06-15 07:15:00,1352.75
2025-06-15 07:30:00,1351.5
2025-06-15 07:45:00,1351.5
2025-06-15 08:00:00,1375.5
2025-06-15 08:15:00,1375.5
2025-06-15 08:30:00,1375.5
2025-06-15 08:45:00,1375.5
