time,实时出清价格
2025-06-11 00:00:00,385.901337
2025-06-11 00:15:00,355.282318
2025-06-11 00:30:00,327.877533
2025-06-11 00:45:00,307.676453
2025-06-11 01:00:00,279.498047
2025-06-11 01:15:00,286.978699
2025-06-11 01:30:00,275.223175
2025-06-11 01:45:00,294.305908
2025-06-11 02:00:00,266.678711
2025-06-11 02:15:00,270.019653
2025-06-11 02:30:00,265.994476
2025-06-11 02:45:00,267.070465
2025-06-11 03:00:00,265.998505
2025-06-11 03:15:00,266.486145
2025-06-11 03:30:00,266.375275
2025-06-11 03:45:00,266.696686
2025-06-11 04:00:00,277.603027
2025-06-11 04:15:00,275.694824
2025-06-11 04:30:00,277.69101
2025-06-11 04:45:00,294.659332
2025-06-11 05:00:00,358.709717
2025-06-11 05:15:00,328.315002
2025-06-11 05:30:00,355.738159
2025-06-11 05:45:00,341.316315
2025-06-11 06:00:00,438.17453
2025-06-11 06:15:00,436.042114
2025-06-11 06:30:00,415.999969
2025-06-11 06:45:00,311.158813
2025-06-11 07:00:00,276.000092
2025-06-11 07:15:00,266.000061
2025-06-11 07:30:00,170.000092
2025-06-11 07:45:00,149.90004
2025-06-11 08:00:00,129.999985
2025-06-11 08:15:00,20.0
2025-06-11 08:30:00,0.0
2025-06-11 08:45:00,0.0
2025-06-11 09:00:00,1.689393
2025-06-11 09:15:00,19.999989
2025-06-11 09:30:00,115.115059
2025-06-11 09:45:00,169.91748
2025-06-11 10:00:00,171.091171
2025-06-11 10:15:00,249.609314
2025-06-11 10:30:00,252.742523
2025-06-11 10:45:00,267.569489
2025-06-11 11:00:00,329.18277
2025-06-11 11:15:00,298.012299
2025-06-11 11:30:00,254.061447
2025-06-11 11:45:00,255.228333
2025-06-11 12:00:00,292.508148
2025-06-11 12:15:00,345.029755
2025-06-11 12:30:00,344.24649
2025-06-11 12:45:00,369.894531
2025-06-11 13:00:00,229.424484
2025-06-11 13:15:00,256.767487
2025-06-11 13:30:00,276.712524
2025-06-11 13:45:00,259.450623
2025-06-11 14:00:00,276.93045
2025-06-11 14:15:00,277.339661
2025-06-11 14:30:00,286.250366
2025-06-11 14:45:00,296.288727
2025-06-11 15:00:00,412.640228
2025-06-11 15:15:00,413.327637
2025-06-11 15:30:00,433.481903
2025-06-11 15:45:00,431.99234
2025-06-11 16:00:00,418.2005
2025-06-11 16:15:00,434.775116
2025-06-11 16:30:00,434.125305
2025-06-11 16:45:00,415.519135
2025-06-11 17:00:00,370.34552
2025-06-11 17:15:00,327.028961
2025-06-11 17:30:00,279.000153
2025-06-11 17:45:00,267.712341
2025-06-11 18:00:00,265.269836
2025-06-11 18:15:00,273.210846
2025-06-11 18:30:00,275.124634
2025-06-11 18:45:00,335.444305
2025-06-11 19:00:00,292.303894
2025-06-11 19:15:00,294.304474
2025-06-11 19:30:00,324.78656
2025-06-11 19:45:00,414.347504
2025-06-11 20:00:00,416.304871
2025-06-11 20:15:00,415.322418
